city,run,window_index,sim_matched_epochs,actual_fix_rate_pct,base_pred_fix_rate_pct,adopted_pred_fix_rate_pct,abs_error_pp,focus_case_tag,focus_case_note,window_action,window_action_note,path1_pred_fix_rate_pct,path1_abs_error_pp
nagoya,run2,14,300.0,26.666666666666668,13.719938448493574,20.0,6.666666666666668,,,use,usable for route aggregation and normal diagnostics,32.81281556935515,6.146148902688484
nagoya,run2,15,289.0,0.0,4.784334286920829,10.42540468576581,10.42540468576581,,,use,usable for route aggregation and normal diagnostics,0.4068496758323764,0.4068496758323764
nagoya,run2,16,295.0,0.0,5.136676883628116,8.394406929153124,8.394406929153124,,,use,usable for route aggregation and normal diagnostics,0.5502622658239729,0.5502622658239729
nagoya,run2,17,231.0,0.0,18.50413501631225,11.2392057945214,11.2392057945214,,,use,usable for route aggregation and normal diagnostics,0.2387439739400822,0.2387439739400822
nagoya,run2,18,286.0,7.3426573426573425,4.260096322113029,7.742232374381841,0.39957503172449815,,,use,usable for route aggregation and normal diagnostics,7.683011662502349,0.3403543198450061
nagoya,run2,19,271.0,11.07011070110701,3.530028846041104,6.329491240275914,4.7406194608310965,,,use,usable for route aggregation and normal diagnostics,12.77162546242608,1.7015147613190695
nagoya,run2,20,287.0,4.529616724738676,6.17809993189219,7.9197983870535555,3.3901816623148795,,,use,usable for route aggregation and normal diagnostics,4.056924906336613,0.47269181840206276
nagoya,run2,21,300.0,1.0,13.29020622459805,14.669606124634004,13.669606124634004,,,use,usable for route aggregation and normal diagnostics,2.1346906497536398,1.1346906497536398
nagoya,run2,22,300.0,20.666666666666668,12.09392586757103,11.229658349568524,9.437008317098144,,,use,usable for route aggregation and normal diagnostics,27.30420538771469,6.637538721048021
nagoya,run2,23,300.0,0.0,16.856147496390243,16.008301164751824,16.008301164751824,,,use,usable for route aggregation and normal diagnostics,0.2008076474684275,0.2008076474684275
nagoya,run2,24,297.0,2.6936026936026933,25.877720538707177,18.458925065135706,15.765322371533012,,,use,usable for route aggregation and normal diagnostics,2.524353882960161,0.16924881064253228
nagoya,run2,25,300.0,16.333333333333332,9.9566392192834,14.669576581948943,1.6637567513843887,,,use,usable for route aggregation and normal diagnostics,16.575156848203527,0.2418235148701946
nagoya,run2,26,300.0,0.0,6.095465917955847,5.3216527196652725,5.3216527196652725,,,use,usable for route aggregation and normal diagnostics,0.2008076474684275,0.2008076474684275
nagoya,run2,27,300.0,0.0,27.25475007167193,8.675820624619774,8.675820624619774,false_lift_resolved,successfully rejected by 18.6 pp against actual 0.0% (base was 27.3%),use,usable for route aggregation and normal diagnostics,0.156894805615355,0.156894805615355
nagoya,run2,28,300.0,0.0,39.90593050256128,20.0,20.0,false_lift_resolved,successfully rejected by 19.9 pp against actual 0.0% (base was 39.9%),use,usable for route aggregation and normal diagnostics,0.2906684705499379,0.2906684705499379
nagoya,run2,29,300.0,0.0,32.07522093820703,17.00790666327025,17.00790666327025,false_lift_resolved,successfully rejected by 15.1 pp against actual 0.0% (base was 32.1%),use,usable for route aggregation and normal diagnostics,0.1476709993021969,0.1476709993021969
nagoya,run2,30,300.0,0.0,43.05203989509348,20.0,20.0,false_lift_resolved,successfully rejected by 23.1 pp against actual 0.0% (base was 43.1%),use,usable for route aggregation and normal diagnostics,0.0832354425530399,0.0832354425530399
nagoya,run2,31,151.0,0.0,18.954990199517987,9.901672100521,9.901672100521,,,use,usable for route aggregation and normal diagnostics,0.2642296438327371,0.2642296438327371
nagoya,run3,0,300.0,0.0,13.768044945570471,15.273808612332504,15.273808612332504,,,use,usable for route aggregation and normal diagnostics,0.3684057453263251,0.3684057453263251
nagoya,run3,1,300.0,0.3333333333333333,10.699475429360362,10.669947715941696,10.336614382608362,,,use,usable for route aggregation and normal diagnostics,2.2449472699822604,1.911613936648927
nagoya,run3,2,300.0,0.0,13.565452477334167,15.477552424862155,15.477552424862155,,,use,usable for route aggregation and normal diagnostics,0.3068455647361468,0.3068455647361468
nagoya,run3,3,294.0,2.380952380952381,1.6216012407768277,9.440904698881086,7.059952317928705,,,use,usable for route aggregation and normal diagnostics,1.889217208777047,0.491735172175334
nagoya,run3,4,299.0,6.020066889632108,0.5166502865681185,8.903222069674628,2.88315518004252,,,use,usable for route aggregation and normal diagnostics,6.474524240197746,0.4544573505656375
nagoya,run3,5,293.0,7.508532423208192,0.5669628815327026,5.7837812113699,1.7247512118382922,,,use,usable for route aggregation and normal diagnostics,7.29917889657186,0.209353526636332
nagoya,run3,6,300.0,2.666666666666667,0.5076010115021252,5.924280535826079,3.257613869159412,,,use,usable for route aggregation and normal diagnostics,2.069286899939365,0.5973797667273018
nagoya,run3,7,300.0,47.66666666666667,1.0846644855257472,9.467119905562775,38.199546761103896,,,use,usable for route aggregation and normal diagnostics,91.72303499187964,44.05636832521297
nagoya,run3,8,300.0,9.666666666666666,1.3823294209253874,9.48363123075683,0.1830354359098365,,,use,usable for route aggregation and normal diagnostics,7.744918576490495,1.9217480901761714
nagoya,run3,9,300.0,0.6666666666666667,0.9702541823550525,5.198846387370977,4.53217972070431,,,use,usable for route aggregation and normal diagnostics,0.476127682543173,0.19053898412349374
nagoya,run3,10,289.0,13.494809688581316,0.5418880221883846,5.198846387370977,8.295963301210339,,,use,usable for route aggregation and normal diagnostics,11.974078763655193,1.5207309249261236
nagoya,run3,11,300.0,0.0,0.3153153337174396,5.198846387370977,5.198846387370977,,,use,usable for route aggregation and normal diagnostics,1.3551591603676545,1.3551591603676545
nagoya,run3,12,296.0,7.094594594594595,0.8578917733259271,5.198846387370977,1.895748207223618,,,use,usable for route aggregation and normal diagnostics,6.348697052720669,0.7458975418739255
nagoya,run3,13,289.0,20.415224913494807,0.4940499865587693,5.481894427669917,14.93333048582489,,,use,usable for route aggregation and normal diagnostics,19.251716768635145,1.1635081448596623
nagoya,run3,14,293.0,7.849829351535837,0.6242254744299982,5.637160856837445,2.2126684946983914,,,use,usable for route aggregation and normal diagnostics,7.31244351687133,0.5373858346645068
nagoya,run3,15,300.0,5.0,0.597631503151971,5.198846387370977,0.1988463873709767,,,use,usable for route aggregation and normal diagnostics,4.328654565753946,0.6713454342460539
nagoya,run3,16,295.0,1.3559322033898304,0.4917966665963505,9.312986106170325,7.957053902780494,,,use,usable for route aggregation and normal diagnostics,4.549858874490121,3.1939266711002903
nagoya,run3,17,101.0,13.861386138613865,0.5358406764310086,6.314311178033963,7.547074960579902,,,use,usable for route aggregation and normal diagnostics,12.00216057741585,1.8592255611980146
tokyo,run1,0,300.0,76.66666666666667,10.318656008478134,20.0,56.66666666666667,hidden_high,actual 76.7% but corrected only 20.0%; under-predicted by 56.7 pp,review,prediction likely underestimates a high-FIX window; review before window-level action,60.65362833291675,16.01303833374992
tokyo,run1,1,300.0,23.33333333333333,9.936484555913564,17.82113602456184,5.512197308771487,,,use,usable for route aggregation and normal diagnostics,18.684816095462697,4.648517237870632
tokyo,run1,2,300.0,0.3333333333333333,39.109023772062166,20.0,19.666666666666668,false_lift_resolved,successfully rejected by 19.1 pp against actual 0.3% (base was 39.1%),use,usable for route aggregation and normal diagnostics,1.6066741639441642,1.273340830610831
tokyo,run1,3,300.0,5.0,4.0388534799356455,10.334385624109183,5.334385624109183,,,use,usable for route aggregation and normal diagnostics,4.041809000166455,0.9581909998335449
tokyo,run1,4,300.0,4.0,5.726598627401412,8.32798613296538,4.32798613296538,,,use,usable for route aggregation and normal diagnostics,0.5717649151016894,3.4282350848983105
tokyo,run1,5,300.0,6.666666666666667,5.276657931415074,10.765197957121856,4.098531290455189,,,use,usable for route aggregation and normal diagnostics,6.1911630952791725,0.47550357138749444
tokyo,run1,6,300.0,42.333333333333336,6.322387952545252,8.273409102252756,34.05992423108058,,,use,usable for route aggregation and normal diagnostics,53.53865346300338,11.205320129670042
tokyo,run1,7,300.0,76.66666666666667,17.410321525455043,11.127621189460834,65.53904547720583,hidden_high,actual 76.7% but corrected only 11.1%; under-predicted by 65.5 pp,review,prediction likely underestimates a high-FIX window; review before window-level action,72.01313636237141,4.653530304295259
