source_csv,name,note,extra_args,wall_s,returncode,engine_total_solutions,engine_valid_solutions,engine_fixed_solutions,engine_fix_rate_pct,n_scored,n_rover_epochs,coverage_pct,all_rms_m,fix_rms_m,fix_pct,lt50cm_pct,lt50cm_full_pct,ppc_official_pct,n_fix,n_fix_after_warmup,frac_fix_after_warmup
results/wp6/sweep\sweep_table_full_8d.csv,c8_jumprate_5_demotepostrms_1,,--max-pos-jump-rate 5.0 --demote-fixed-status-post-rms 1.0,264.9,0,7599.0,7599.0,2344.0,30.85,7599,11928,63.707,18.1767,12.4267,30.846,41.782,26.618,17.914,2344,1452,0.6195
results/wp6/sweep\sweep_table_full_8d.csv,c8_jumprate_10_demotepostrms_1,,--max-pos-jump-rate 10.0 --demote-fixed-status-post-rms 1.0,213.3,0,7472.0,7472.0,3743.0,50.09,7472,11928,62.643,18.648,13.3974,50.094,52.235,32.721,27.407,3743,2650,0.708
results/wp6/sweep\sweep_table_full_8e.csv,c8_jumprate_2.3,,--max-pos-jump-rate 2.3,202.1,0,7485.0,7485.0,1130.0,15.1,7485,11928,62.752,19.476,0.3114,15.097,42.899,26.92,24.188,1130,320,0.2832
results/wp6/sweep\sweep_table_full_8e.csv,c8_jumprate_2.5,,--max-pos-jump-rate 2.5,199.5,0,7558.0,7558.0,1407.0,18.62,7558,11928,63.364,19.7569,9.5644,18.616,42.472,26.911,24.231,1407,597,0.4243
results/wp6/sweep\sweep_table_full_8e.csv,c8_jumprate_2.7,,--max-pos-jump-rate 2.7,199.7,0,7535.0,7535.0,1131.0,15.01,7535,11928,63.171,19.8916,11.3985,15.01,34.665,21.898,23.661,1131,321,0.2838
results/wp6/sweep\sweep_table_full_8f.csv,c8_jumprate_2.35,,--max-pos-jump-rate 2.35,199.4,0,7498.0,7498.0,1257.0,16.76,7498,11928,62.86,19.7714,8.7617,16.764,42.625,26.794,24.17,1257,447,0.3556
results/wp6/sweep\sweep_table_full_8f.csv,c8_jumprate_2.4,,--max-pos-jump-rate 2.4,199.6,0,7499.0,7499.0,1391.0,18.55,7499,11928,62.869,19.77,9.1239,18.549,42.779,26.895,24.17,1391,581,0.4177
results/wp6/sweep\sweep_table_full_8f.csv,c8_jumprate_2.45,,--max-pos-jump-rate 2.45,199.6,0,7500.0,7500.0,1491.0,19.88,7500,11928,62.877,19.7899,9.0477,19.88,42.56,26.761,24.169,1491,681,0.4567
results/wp6/sweep_table.csv,wp6_winner_jumprate_2.3,,--max-pos-jump-rate 2.3,239.3,0,6457.0,6457.0,846.0,13.1,6457,9151,70.561,9.3396,0.2543,13.102,61.127,43.132,48.011,846,326,0.3853
results/wp6/sweep_table.csv,c0_bare_preset,,,218.4,0,6466.0,6466.0,817.0,12.64,6466,9151,70.659,9.3105,0.049,12.635,51.098,36.105,43.474,817,0,0.0
results/wp6/sweep_table.csv,c0_v5_baseline_flags,v5 baseline's exact extra flags beyond --preset low-cost,--arfilter --arfilter-margin 0.35 --min-hold-count 8 --hold-ratio-threshold 2.6,218.7,0,6466.0,6466.0,817.0,12.64,6466,9151,70.659,9.3105,0.049,12.635,51.098,36.105,43.474,817,0,0.0
results/wp6/sweep_table_run3.csv,wp6_winner_jumprate_2.3,,--max-pos-jump-rate 2.3,408.8,0,12875.0,12875.0,668.0,5.19,12875,15301,84.145,5.6371,0.0811,5.188,51.961,43.723,40.69,668,4,0.006
results/wp6/sweep_table_run3.csv,c0_bare_preset,,,394.1,0,12833.0,12833.0,818.0,6.37,12833,15301,83.87,5.281,0.0484,6.374,52.108,43.703,40.664,818,0,0.0
results/wp6/sweep_table_run3.csv,c0_v5_baseline_flags,v5 baseline's exact extra flags beyond --preset low-cost,--arfilter --arfilter-margin 0.35 --min-hold-count 8 --hold-ratio-threshold 2.6,375.8,0,12833.0,12833.0,818.0,6.37,12833,15301,83.87,5.281,0.0484,6.374,52.108,43.703,40.664,818,0,0.0
results/wp6/final/run1/sweep_table.csv,c0_bare_preset,,,249.4,0,7397.0,7397.0,775.0,10.48,7397,11928,62.014,19.8612,0.0837,10.477,40.936,25.386,22.883,775,0,0.0
results/wp6/final/run1/sweep_table.csv,c0_v5_baseline_flags,v5 baseline's exact extra flags beyond --preset low-cost,--arfilter --arfilter-margin 0.35 --min-hold-count 8 --hold-ratio-threshold 2.6,231.3,0,7397.0,7397.0,775.0,10.48,7397,11928,62.014,19.8612,0.0837,10.477,40.936,25.386,22.883,775,0,0.0
results/wp6/final/run1/sweep_table.csv,wp6_winner_jumprate_2.3,,--max-pos-jump-rate 2.3,200.1,0,7485.0,7485.0,1130.0,15.1,7485,11928,62.752,19.476,0.3114,15.097,42.899,26.92,24.188,1130,320,0.2832
results/wp6/final/run2/sweep_table.csv,wp6_winner_jumprate_2.3,,--max-pos-jump-rate 2.3,259.2,0,6457.0,6457.0,846.0,13.1,6457,9151,70.561,9.3396,0.2543,13.102,61.127,43.132,48.011,846,326,0.3853
results/wp6/final/run2/sweep_table.csv,c0_bare_preset,,,258.6,0,6466.0,6466.0,817.0,12.64,6466,9151,70.659,9.3105,0.049,12.635,51.098,36.105,43.474,817,0,0.0
results/wp6/final/run2/sweep_table.csv,c0_v5_baseline_flags,v5 baseline's exact extra flags beyond --preset low-cost,--arfilter --arfilter-margin 0.35 --min-hold-count 8 --hold-ratio-threshold 2.6,237.7,0,6466.0,6466.0,817.0,12.64,6466,9151,70.659,9.3105,0.049,12.635,51.098,36.105,43.474,817,0,0.0
results/wp6/final/run3/sweep_table.csv,wp6_winner_jumprate_2.3,,--max-pos-jump-rate 2.3,455.6,0,12875.0,12875.0,668.0,5.19,12875,15301,84.145,5.6371,0.0811,5.188,51.961,43.723,40.69,668,4,0.006
