backend,blocked_epoch_frac,blocked_threshold,catastrophic_rate_pct,city,disagreement_threshold_m,longest_outlier_segment_epochs,longest_outlier_segment_s,max_2d,mean_2d,mean_blocked_score,mean_disagreement_m,mean_positive_score,method,n_epochs,nlos_fraction,outlier_rate_pct,p50,p67,p95,positive_threshold,rms_2d,rms_3d,run,segment_label,start_epoch,subset_key,time_ms_per_epoch
GPU-hybrid,0.260000,0.000000,0.000000,tokyo,80.000000,57.000000,11.199999,128.683579,90.345672,0.006858,86.143252,0.258099,"PF-RichGate(b=0,p=0.5,d=80)",100,0.064935,57.000000,108.453505,120.243701,127.096363,0.500000,98.368676,107.940943,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,nan
GPU-hybrid,0.130000,0.000000,0.000000,tokyo,80.000000,59.000000,11.600000,119.972764,97.998972,0.003294,93.853194,0.152106,"PF-RichGate(b=0,p=0.5,d=80)",100,0.013605,59.000000,106.783655,114.843469,119.473371,0.500000,100.478545,108.444702,run3,tokyo_run3_seg774,774,436910dd3dca5c2a,nan
GPU-hybrid,0.000000,0.000000,0.000000,nagoya,80.000000,0.000000,0.000000,83.852531,73.947469,0.003486,60.163765,0.082728,"PF-RichGate(b=0,p=0.5,d=80)",100,0.066667,0.000000,75.074592,76.288202,80.392926,0.500000,74.062776,77.412613,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
GPU-hybrid,0.250000,0.000000,0.000000,tokyo,0.000000,57.000000,11.199999,128.683579,91.607606,0.006858,86.143252,0.258099,"PF-RichGate(b=0,p=0.75,d=0)",100,0.064935,57.000000,108.453505,120.243701,127.096363,0.750000,99.002513,108.628075,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,nan
GPU-hybrid,0.120000,0.000000,0.000000,tokyo,0.000000,59.000000,11.600000,119.972764,97.980248,0.003294,93.853194,0.152106,"PF-RichGate(b=0,p=0.75,d=0)",100,0.013605,59.000000,106.783655,114.843469,119.473371,0.750000,100.467282,108.354416,run3,tokyo_run3_seg774,774,436910dd3dca5c2a,nan
GPU-hybrid,0.040000,0.000000,0.000000,nagoya,0.000000,0.000000,0.000000,96.843405,74.779057,0.003486,60.163765,0.082728,"PF-RichGate(b=0,p=0.75,d=0)",100,0.066667,0.000000,75.103069,76.695460,82.280011,0.750000,75.020855,78.601089,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
GPU-hybrid,0.250000,0.000000,0.000000,tokyo,5.000000,57.000000,11.199999,128.683579,91.607606,0.006858,86.143252,0.258099,"PF-RichGate(b=0,p=0.75,d=5)",100,0.064935,57.000000,108.453505,120.243701,127.096363,0.750000,99.002513,108.628075,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,nan
GPU-hybrid,0.120000,0.000000,0.000000,tokyo,5.000000,59.000000,11.600000,119.972764,97.980248,0.003294,93.853194,0.152106,"PF-RichGate(b=0,p=0.75,d=5)",100,0.013605,59.000000,106.783655,114.843469,119.473371,0.750000,100.467282,108.354416,run3,tokyo_run3_seg774,774,436910dd3dca5c2a,nan
GPU-hybrid,0.040000,0.000000,0.000000,nagoya,5.000000,0.000000,0.000000,96.843405,74.779057,0.003486,60.163765,0.082728,"PF-RichGate(b=0,p=0.75,d=5)",100,0.066667,0.000000,75.103069,76.695460,82.280011,0.750000,75.020855,78.601089,run2,nagoya_run2_seg983,983,63e337fab2e5f33f,nan
GPU-hybrid,0.250000,0.000000,0.000000,tokyo,10.000000,57.000000,11.199999,128.683579,91.607606,0.006858,86.143252,0.258099,"PF-RichGate(b=0,p=0.75,d=10)",100,0.064935,57.000000,108.453505,120.243701,127.096363,0.750000,99.002513,108.628075,run2,tokyo_run2_seg808,808,5dc816ee3fc0ae64,nan
