epoch,error_2d,posterior_std_2d,posterior_std_x,posterior_std_y,posterior_std_z,kurtosis_2d,ess,n_sat
288,20197.8796,5.9672,8.1248,8.0827,19.1118,34.7500,10000.0,13
289,20199.4096,6.1714,8.8330,8.0717,21.1370,35.4199,10000.0,13
290,20201.1014,6.4493,9.4547,8.4337,22.8513,34.6823,10000.0,13
291,20202.1465,6.7925,10.0114,8.6034,23.0165,33.4689,10000.0,13
292,20201.3358,7.2518,10.3039,9.1638,22.5267,32.1328,10000.0,13
293,20199.7494,7.2492,10.6559,9.4890,21.5244,36.6119,10000.0,13
294,20197.6256,7.6588,10.9441,9.7380,21.0288,36.4600,10000.0,13
295,20194.5723,7.8952,10.1439,9.1683,19.0289,31.1240,10000.0,13
296,20193.2570,7.1668,9.1065,8.0972,17.2169,32.7601,10000.0,13
297,20191.5675,5.9086,7.8881,7.2019,13.5415,44.3113,10000.0,13
298,20191.3546,4.5468,7.0441,6.0515,8.8137,52.0115,10000.0,13
299,20192.3729,4.4097,6.5495,5.7003,7.0953,40.3378,10000.0,13
300,20191.4383,4.2186,7.6078,5.4510,6.0316,44.5223,10000.0,13
301,20189.9991,3.8789,8.6876,5.7602,5.6942,81.9509,10000.0,13
302,20188.4023,4.0980,9.0282,5.6529,5.2528,75.1853,10000.0,14
303,20187.1781,4.6279,9.0711,5.6978,4.7293,52.5253,10000.0,14
304,20186.9066,4.5903,9.0852,5.5476,4.6270,49.6969,10000.0,14
305,20186.1136,4.9054,8.5234,5.0663,4.6330,34.3880,10000.0,14
306,20185.9671,5.1454,8.5813,4.7849,4.6249,30.7304,10000.0,14
307,20185.8272,5.4392,8.5937,5.1548,4.9986,30.4058,10000.0,14
308,20185.3822,5.5109,8.7656,5.5377,4.7860,33.9348,10000.0,14
309,20185.4130,5.4686,8.6545,5.5002,5.0618,35.0448,10000.0,14
310,20185.2536,5.7028,8.3596,5.7308,5.0293,31.6676,10000.0,14
311,20185.1804,5.3507,8.0225,6.0008,4.9297,36.0631,10000.0,14
312,20184.9136,5.6352,8.2904,6.0005,5.4571,34.0356,10000.0,14
313,20183.9397,5.3632,7.7134,5.6283,6.1445,34.4967,10000.0,14
314,20183.9138,4.4824,6.0087,5.0466,6.3582,32.6751,10000.0,14
315,20183.9546,4.0110,5.3029,4.6632,5.6097,36.7687,10000.0,14
316,20183.9079,3.7519,4.8330,5.0393,5.1730,36.3381,10000.0,14
317,20183.4882,3.4822,4.7809,5.4822,5.2903,44.1607,10000.0,14
318,20183.5648,3.6903,5.0771,6.0534,5.5043,44.9323,10000.0,14
319,20183.8034,3.7042,5.2984,6.1755,5.7341,44.8736,10000.0,14
320,20183.9196,4.0865,5.8831,6.9219,6.0205,48.0312,10000.0,14
321,20184.3836,4.3166,6.0002,7.1560,6.3119,46.1811,10000.0,14
322,20185.8765,4.7063,6.1911,7.4295,6.1056,42.8431,10000.0,13
323,20186.3492,4.8924,6.5840,7.1584,5.9002,38.8836,10000.0,13
324,20186.2852,4.6472,6.6762,6.4885,5.8747,40.2687,10000.0,13
325,20186.0238,4.3850,6.3734,6.0960,6.3131,40.3336,10000.0,13
326,20186.0296,4.0935,6.1624,5.6844,6.3425,40.5278,10000.0,13
327,20185.7685,3.7738,5.8590,5.2822,6.7638,42.7221,10000.0,13
328,20185.3814,3.7984,5.6284,5.5946,6.8293,44.4279,10000.0,13
329,20184.4014,4.1282,6.0766,5.9005,7.1358,42.5188,10000.0,13
330,20183.4523,4.8534,6.9131,6.3857,7.2099,39.0218,10000.0,13
331,20183.1144,4.4659,6.7936,6.1625,6.9994,44.4420,10000.0,13
332,20183.4599,4.5509,6.7132,6.0561,6.7855,42.6753,10000.0,13
333,20183.9231,4.4349,6.2385,6.3313,6.1814,39.7789,10000.0,13
334,20184.0740,4.6109,6.2644,6.8431,6.2723,37.5037,10000.0,12
335,20184.1447,4.7532,6.5745,7.3729,6.7031,39.8017,10000.0,12
336,20184.4468,4.7432,6.5921,7.4776,6.6724,39.5334,10000.0,12
337,20185.3792,4.9072,6.1603,7.4342,6.0399,34.2457,10000.0,12
338,20185.6650,4.6324,5.4041,7.3315,5.8766,36.7015,10000.0,12
339,20185.8567,4.3448,5.2025,6.9125,5.3688,36.2216,10000.0,12
340,20185.8131,4.4577,5.2135,6.9659,5.0651,34.9503,10000.0,12
341,20186.7004,4.4094,5.3847,6.4611,5.2885,34.1135,10000.0,12
342,20187.3893,4.4942,5.3857,6.1166,5.7567,33.9855,10000.0,12
343,20187.5325,4.1792,5.2439,5.5956,6.2357,34.1295,10000.0,12
