blocked_threshold,disagreement_threshold_m,mean_blocked_epoch_frac,mean_catastrophic_rate_pct,mean_outlier_rate_pct,mean_p95,mean_rms_2d,method,n_segments,pf_rms_wins,positive_threshold,robust_rms_wins
0.005000,80.000000,0.103333,0.000000,38.666667,108.987553,91.522239,"PF-RichGate(b=0.005,p=0.5,d=80)",3,2,0.500000,2
0.005000,0.000000,0.100000,0.000000,38.666667,109.115869,91.801755,"PF-RichGate(b=0.005,p=0.75,d=0)",3,2,0.750000,2
0.005000,5.000000,0.100000,0.000000,38.666667,109.115869,91.801755,"PF-RichGate(b=0.005,p=0.75,d=5)",3,2,0.750000,2
0.005000,10.000000,0.100000,0.000000,38.666667,109.115869,91.801755,"PF-RichGate(b=0.005,p=0.75,d=10)",3,2,0.750000,2
0.005000,20.000000,0.093333,0.000000,38.666667,109.115869,91.824137,"PF-RichGate(b=0.005,p=0.75,d=20)",3,2,0.750000,2
0.005000,40.000000,0.093333,0.000000,38.666667,109.115869,91.824137,"PF-RichGate(b=0.005,p=0.75,d=40)",3,2,0.750000,2
0.005000,80.000000,0.086667,0.000000,38.666667,108.987553,91.786259,"PF-RichGate(b=0.005,p=0.75,d=80)",3,2,0.750000,2
0.010000,0.000000,0.133333,0.000000,38.666667,110.549375,91.672365,"PF-RichGate(b=0.01,p=0,d=0)",3,2,0.000000,2
0.010000,5.000000,0.133333,0.000000,38.666667,110.549375,91.672365,"PF-RichGate(b=0.01,p=0,d=5)",3,2,0.000000,2
0.010000,10.000000,0.130000,0.000000,38.666667,110.549375,91.680827,"PF-RichGate(b=0.01,p=0,d=10)",3,2,0.000000,2
0.010000,20.000000,0.120000,0.000000,38.666667,110.549375,91.702685,"PF-RichGate(b=0.01,p=0,d=20)",3,2,0.000000,2
0.010000,40.000000,0.116667,0.000000,38.666667,110.549375,91.723855,"PF-RichGate(b=0.01,p=0,d=40)",3,2,0.000000,2
0.010000,80.000000,0.086667,0.000000,38.666667,108.987553,91.446882,"PF-RichGate(b=0.01,p=0,d=80)",3,2,0.000000,2
0.010000,0.000000,0.113333,0.000000,38.666667,110.219137,92.257604,"PF-RichGate(b=0.01,p=0.25,d=0)",3,2,0.250000,2
0.010000,5.000000,0.113333,0.000000,38.666667,110.219137,92.257604,"PF-RichGate(b=0.01,p=0.25,d=5)",3,2,0.250000,2
0.010000,10.000000,0.110000,0.000000,38.666667,110.219137,92.265903,"PF-RichGate(b=0.01,p=0.25,d=10)",3,2,0.250000,2
0.010000,20.000000,0.100000,0.000000,38.666667,110.156619,92.287471,"PF-RichGate(b=0.01,p=0.25,d=20)",3,2,0.250000,2
0.010000,40.000000,0.096667,0.000000,38.666667,110.156619,92.308232,"PF-RichGate(b=0.01,p=0.25,d=40)",3,2,0.250000,2
0.010000,80.000000,0.070000,0.000000,38.666667,108.987553,92.098421,"PF-RichGate(b=0.01,p=0.25,d=80)",3,2,0.250000,2
0.010000,0.000000,0.103333,0.000000,38.666667,109.493342,92.168246,"PF-RichGate(b=0.01,p=0.5,d=0)",3,2,0.500000,2
